States,Foss,STEMScopes,AmplifyScience,Tynker,Minecraft,STEMFuse,TechTerraEdducation,AllOtherNGSSCurriculum,SAMLabs,StrawBees,Arduino,AmplifyScience,Ozobot,MakeyMakey,Dremel,BBCmicrobit,Edison,UBTech,Engino,MicrosoftHololens,ClassVR,Prusa,PiTop,KinderlabRobotics,XYZPrinting,Makeblock,Bloxels,Robo3D,HTCVive,Kano,Oculus,Glowforge,Cubelets,BirdbrainTechnology,LulzBot,BeeBots,RaspberryPi,Sparkfun,KNex,SnapCircuits,Ultimaker,Wonderworkshop,Littlebits,Sphero,ZSpace,PascoScientific,Makerbot,Pitsco,Vernier,LEGOEducation,Vex,TOTAL,StudentPopulation
Alabama,0,0,0,36072.04,0,13498,0,14598,0,0,0,0,"8,144.09",1865.72,34.99,0,0,0,0,0,0,0,0,939.12,19096.04,0,272.5,1590,0,161.71,0,6990,0,57650,0,8303.55,0,1461,,0,0,108045,44161,253035,125824,126216,170151.75,160781.5,214775,793663,767765,2870925.97,739716
Alaska,300.7,1950,,336.5,6375.54,0,0,812436,0,0,12503.46,5177.12,"10,499.91",1052.19,3099.16,0,0,0,89.95,0,0,2625.99,0,16987.53,0,0,1225,0,1091.52,0,8143.88,4795,,0,0,0,2643,11446,6405,21939,8267,79.99,5750.36,192274,0,19072,283684.48,230791,286513.58,186818,77977,1400951.12,130963
Arizona,"22,698.73",0,0,54095,21268.97,0,0,442176,0,1206.13,8632.71,0,"14,250.29",12118.96,4265.47,197.5,11020.54,0,1021.52,0,0,353.98,0,0,730.64,1406.32,497.1,0,3995,2989.77,24597.71,2000,4710.7,2179,6840,2387,11783,7751,,21939,0,19538,26509,15489,88639,19290,161098.91,779014,355065,635317,330417,2577250.25,1141511
Arkansas,"44,321.11",378478.76,0,1820*,24175.31,1998,0,305013,0,3385.53,16031.33,0,"18,646.28",44260.24,4585.7,2980.84,170,0,144.02,3500,0,3944.81,2935.21,3301.8,2837.1,1149.93*,1276.23,63,1456,1172,303425,0,15648,14988,9477,46448,32382,16479,,21939,27338,78136,70171,153383,715992,41477,483470.52,430245,828476,590636,1560000,5550800.61,495291
California,"1,520,000",1293986.26,10010000,336531.9,224505.93,109838.39,0,27060000,19013,,622389.98,"$1,187,299","370,873.05",393627.31,110796.3,19787.8,350174.93,21494.05,13045.36,536607.5,80641.05,51050.01,38915.81,32919.05,75382.76,183662.45,16257.11,174336,121322,80661,171927,418985,428700,374386,313398,282962,356971,432608,,390805,420950,1470000,1330000,1460000,1290000,3550000,4700000,2810000,7750000,12650000,15220000,60321947.52,6272734
Colorado,"64,051.30",61841.47,,16262.5,5995.35,5994,0,2380000,599,1461.53,45439.64,38390,"18,938.76",24419.56,0,131.94,15253.4,0,166.45,0,15111.18,7112.18,0,438.9,12849.78,2030.8,16391.01,0,1852.95,4917,11493,44205,24098,7865.16,205032,19077,14999,235383,46132,18975,9591,110002,130407,189628,192692,252055,516316.69,549323,995358,1080000,1140000,5998135.93,911536
Connecticut,83.95,6693.75,0,10339,3323.19,1698,518,470942,0,706.54,11713.07,0,"5,647.17",5378.75,4365.48,0,2875.72,1396,1154.73,0,0,0,0,916.3,910.5,183.84*,2300.62,0,8599,150,199,0,20075,9671,3073,3257.13,19106,9942,26211,10172,15294,14620,58349,13885,14511,119247,362758.07,254421,369567,278208,520686,2169366.08,526634
District of Columbia,0,0,0,0,0,0,0,3547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1628,0,0,0,0,20429.83,28341,16756,0,82288,149442.83,138405
Delaware,0,0,0,0,0,1497,0,23845,2718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6885,0,10279,0,4594,0,0,0,6005,2448,0,0,24121,863,14200,0,50474,154695.74,402353,578219,252838,337341,1848033.74,93741
Florida,"2,754",2754276.43,28695,92933,46808.04,13739,0,5210000,13278,,76485.3,28694,"131,254.47",79610.54,27856,611.5,7494.43,2287.47,2819.02,14000,598,1796.71,1374.99,50646.62,14060.66,13718.11*,21462.84,107492,13492,26981,65278,57280,220960,3967.36,83134,136299,68165,124668,,202891,205241,307717,390029,377703,2990000,1640000,1700000,5790000,2290000,6340000,3440000,27055627.91,2846444
Georgia,0,700715.1,15000,17800,17373.58,8468,0,2040000,4884.12,996.54,35543.44,15000,"31,498.68",29282.44,53738,1280.18,2596.43,939.65,102419.84,4500,8824.4,5729.86,0,4550,7392.99,11543.09,18994.64,21444,24742,50303,11518,31885,47623,54106.22,22237,45669,22868,66252,,66437,66778,76665,142770,354384,1140000,298760,934474.66,1060000,1020000,1930000,1010000,8838630.18,1767202
